,REGIÃO,ESTADO,VALOR REVENDA (R$/L),DATA,ANO
0,SUL,SANTA CATARINA,2.07,2004-05-12,2004
1,SUL,RIO GRANDE DO SUL,2.135,2004-05-12,2004
2,SUL,PARANA,1.966,2004-05-12,2004
3,SUDESTE,RIO DE JANEIRO,2.045,2004-05-12,2004
4,CENTRO OESTE,MATO GROSSO,2.358,2004-05-12,2004
5,CENTRO OESTE,MATO GROSSO DO SUL,2.12,2004-05-12,2004
6,NORDESTE,ALAGOAS,2.09,2004-05-12,2004
7,NORDESTE,BAHIA,2.04,2004-05-12,2004
8,NORDESTE,CEARA,2.148,2004-05-12,2004
9,NORDESTE,MARANHAO,2.089,2004-05-12,2004
10,NORDESTE,PARAIBA,1.989,2004-05-12,2004
11,NORDESTE,PERNAMBUCO,2.008,2004-05-12,2004
12,NORDESTE,PIAUI,2.099,2004-05-12,2004
13,SUDESTE,SAO PAULO,1.891,2004-05-12,2004
14,NORDESTE,RIO GRANDE DO NORTE,1.98,2004-05-12,2004
15,NORTE,ACRE,2.388,2004-05-12,2004
16,NORTE,AMAPA,2.175,2004-05-12,2004
17,NORTE,AMAZONAS,2.044,2004-05-12,2004
18,NORTE,PARA,2.332,2004-05-12,2004
19,NORTE,RONDONIA,2.336,2004-05-12,2004
20,NORTE,RORAIMA,1.995,2004-05-12,2004
21,NORTE,TOCANTINS,2.089,2004-05-12,2004
22,SUDESTE,ESPIRITO SANTO,2.026,2004-05-12,2004
23,SUDESTE,MINAS GERAIS,1.981,2004-05-12,2004
24,NORDESTE,SERGIPE,1.968,2004-05-12,2004
25,CENTRO OESTE,GOIAS,2.025,2004-05-12,2004
26,CENTRO OESTE,DISTRITO FEDERAL,2.029,2004-05-12,2004
27,CENTRO OESTE,DISTRITO FEDERAL,2.025,2004-05-19,2004
28,CENTRO OESTE,GOIAS,2.027,2004-05-19,2004
29,CENTRO OESTE,MATO GROSSO,2.354,2004-05-19,2004
30,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004-05-19,2004
31,NORDESTE,ALAGOAS,2.089,2004-05-19,2004
32,NORDESTE,BAHIA,2.045,2004-05-19,2004
33,NORDESTE,CEARA,2.147,2004-05-19,2004
34,NORDESTE,MARANHAO,2.07,2004-05-19,2004
35,NORDESTE,PARAIBA,1.987,2004-05-19,2004
36,NORDESTE,PERNAMBUCO,2.012,2004-05-19,2004
37,NORDESTE,PIAUI,2.099,2004-05-19,2004
38,NORDESTE,RIO GRANDE DO NORTE,1.97,2004-05-19,2004
39,NORDESTE,SERGIPE,1.969,2004-05-19,2004
40,NORTE,AMAPA,2.235,2004-05-19,2004
41,NORTE,AMAZONAS,2.042,2004-05-19,2004
42,NORTE,PARA,2.329,2004-05-19,2004
43,NORTE,RONDONIA,2.326,2004-05-19,2004
44,NORTE,RORAIMA,1.995,2004-05-19,2004
45,NORTE,TOCANTINS,2.091,2004-05-19,2004
46,SUDESTE,ESPIRITO SANTO,2.014,2004-05-19,2004
47,SUDESTE,MINAS GERAIS,1.978,2004-05-19,2004
48,SUDESTE,RIO DE JANEIRO,2.04,2004-05-19,2004
49,SUDESTE,SAO PAULO,1.888,2004-05-19,2004
50,SUL,PARANA,1.961,2004-05-19,2004
51,SUL,RIO GRANDE DO SUL,2.136,2004-05-19,2004
52,SUL,SANTA CATARINA,2.067,2004-05-19,2004
53,NORTE,ACRE,2.438,2004-05-19,2004
54,CENTRO OESTE,DISTRITO FEDERAL,2.024,2004-05-26,2004
55,CENTRO OESTE,GOIAS,2.028,2004-05-26,2004
56,CENTRO OESTE,MATO GROSSO,2.36,2004-05-26,2004
57,NORDESTE,ALAGOAS,2.089,2004-05-26,2004
58,NORDESTE,BAHIA,2.045,2004-05-26,2004
59,NORDESTE,CEARA,2.147,2004-05-26,2004
60,NORDESTE,MARANHAO,2.067,2004-05-26,2004
61,NORDESTE,PARAIBA,1.99,2004-05-26,2004
62,CENTRO OESTE,MATO GROSSO DO SUL,2.114,2004-05-26,2004
63,NORDESTE,PERNAMBUCO,1.967,2004-05-26,2004
64,NORDESTE,PIAUI,2.099,2004-05-26,2004
65,NORDESTE,RIO GRANDE DO NORTE,1.969,2004-05-26,2004
66,NORDESTE,SERGIPE,1.967,2004-05-26,2004
67,SUL,RIO GRANDE DO SUL,2.133,2004-05-26,2004
68,SUL,PARANA,1.963,2004-05-26,2004
69,SUDESTE,SAO PAULO,1.894,2004-05-26,2004
70,SUDESTE,RIO DE JANEIRO,2.042,2004-05-26,2004
71,SUDESTE,MINAS GERAIS,1.98,2004-05-26,2004
72,SUDESTE,ESPIRITO SANTO,2.019,2004-05-26,2004
73,NORTE,TOCANTINS,2.101,2004-05-26,2004
74,NORTE,RORAIMA,1.995,2004-05-26,2004
75,NORTE,RONDONIA,2.339,2004-05-26,2004
76,NORTE,PARA,2.328,2004-05-26,2004
77,NORTE,AMAZONAS,2.05,2004-05-26,2004
78,NORTE,AMAPA,2.235,2004-05-26,2004
79,NORTE,ACRE,2.438,2004-05-26,2004
80,SUL,SANTA CATARINA,2.065,2004-05-26,2004
81,CENTRO OESTE,GOIAS,2.033,2004-06-02,2004
82,CENTRO OESTE,DISTRITO FEDERAL,2.059,2004-06-02,2004
83,CENTRO OESTE,MATO GROSSO,2.365,2004-06-02,2004
84,CENTRO OESTE,MATO GROSSO DO SUL,2.129,2004-06-02,2004
85,NORDESTE,ALAGOAS,2.089,2004-06-02,2004
86,NORDESTE,BAHIA,2.044,2004-06-02,2004
87,SUL,SANTA CATARINA,2.08,2004-06-02,2004
88,SUL,RIO GRANDE DO SUL,2.157,2004-06-02,2004
89,SUL,PARANA,1.993,2004-06-02,2004
90,SUDESTE,SAO PAULO,1.912,2004-06-02,2004
91,SUDESTE,RIO DE JANEIRO,2.053,2004-06-02,2004
92,SUDESTE,MINAS GERAIS,1.995,2004-06-02,2004
93,SUDESTE,ESPIRITO SANTO,2.033,2004-06-02,2004
94,NORTE,TOCANTINS,2.107,2004-06-02,2004
95,NORTE,RORAIMA,1.995,2004-06-02,2004
96,NORTE,RONDONIA,2.336,2004-06-02,2004
97,NORTE,PARA,2.328,2004-06-02,2004
98,NORTE,AMAZONAS,2.044,2004-06-02,2004
99,NORTE,AMAPA,2.291,2004-06-02,2004
100,NORTE,ACRE,2.435,2004-06-02,2004
101,NORDESTE,SERGIPE,1.967,2004-06-02,2004
102,NORDESTE,RIO GRANDE DO NORTE,1.951,2004-06-02,2004
103,NORDESTE,PIAUI,2.097,2004-06-02,2004
104,NORDESTE,PERNAMBUCO,1.966,2004-06-02,2004
105,NORDESTE,PARAIBA,1.999,2004-06-02,2004
106,NORDESTE,MARANHAO,2.075,2004-06-02,2004
107,NORDESTE,CEARA,2.148,2004-06-02,2004
108,SUDESTE,ESPIRITO SANTO,2.036,2004-06-09,2004
109,SUDESTE,MINAS GERAIS,2.005,2004-06-09,2004
110,SUDESTE,RIO DE JANEIRO,2.063,2004-06-09,2004
111,SUL,SANTA CATARINA,2.085,2004-06-09,2004
112,SUL,RIO GRANDE DO SUL,2.159,2004-06-09,2004
113,SUL,PARANA,2.001,2004-06-09,2004
114,SUDESTE,SAO PAULO,1.919,2004-06-09,2004
115,NORTE,TOCANTINS,2.105,2004-06-09,2004
116,NORTE,RORAIMA,1.995,2004-06-09,2004
117,NORTE,PARA,2.35,2004-06-09,2004
118,CENTRO OESTE,DISTRITO FEDERAL,2.054,2004-06-09,2004
119,CENTRO OESTE,GOIAS,2.035,2004-06-09,2004
120,CENTRO OESTE,MATO GROSSO,2.364,2004-06-09,2004
121,NORTE,RONDONIA,2.337,2004-06-09,2004
122,NORDESTE,ALAGOAS,2.089,2004-06-09,2004
123,CENTRO OESTE,MATO GROSSO DO SUL,2.138,2004-06-09,2004
124,NORDESTE,CEARA,2.147,2004-06-09,2004
125,NORDESTE,MARANHAO,2.082,2004-06-09,2004
126,NORDESTE,PARAIBA,1.999,2004-06-09,2004
127,NORDESTE,PERNAMBUCO,2.014,2004-06-09,2004
128,NORDESTE,PIAUI,2.12,2004-06-09,2004
129,NORDESTE,RIO GRANDE DO NORTE,1.949,2004-06-09,2004
130,NORDESTE,SERGIPE,1.988,2004-06-09,2004
131,NORTE,ACRE,2.437,2004-06-09,2004
132,NORTE,AMAPA,2.337,2004-06-09,2004
133,NORTE,AMAZONAS,2.059,2004-06-09,2004
134,NORDESTE,BAHIA,2.064,2004-06-09,2004
135,NORTE,TOCANTINS,2.151,2004-06-16,2004
136,NORDESTE,PARAIBA,2.026,2004-06-16,2004
137,NORDESTE,PERNAMBUCO,2.031,2004-06-16,2004
138,NORDESTE,PIAUI,2.141,2004-06-16,2004
139,NORDESTE,RIO GRANDE DO NORTE,2.039,2004-06-16,2004
140,NORDESTE,SERGIPE,2.007,2004-06-16,2004
141,NORTE,ACRE,2.437,2004-06-16,2004
142,NORTE,AMAPA,2.376,2004-06-16,2004
143,NORTE,AMAZONAS,2.061,2004-06-16,2004
144,NORTE,RONDONIA,2.349,2004-06-16,2004
145,NORTE,RORAIMA,2.009,2004-06-16,2004
146,SUDESTE,ESPIRITO SANTO,2.051,2004-06-16,2004
147,SUDESTE,MINAS GERAIS,2.032,2004-06-16,2004
148,NORTE,PARA,2.373,2004-06-16,2004
149,CENTRO OESTE,MATO GROSSO DO SUL,2.161,2004-06-16,2004
150,SUDESTE,RIO DE JANEIRO,2.085,2004-06-16,2004
151,SUDESTE,SAO PAULO,1.958,2004-06-16,2004
152,SUL,PARANA,2.06,2004-06-16,2004
153,SUL,RIO GRANDE DO SUL,2.223,2004-06-16,2004
154,NORDESTE,BAHIA,2.095,2004-06-16,2004
155,NORDESTE,ALAGOAS,2.119,2004-06-16,2004
156,CENTRO OESTE,MATO GROSSO,2.413,2004-06-16,2004
157,CENTRO OESTE,GOIAS,2.051,2004-06-16,2004
158,CENTRO OESTE,DISTRITO FEDERAL,2.037,2004-06-16,2004
159,SUL,SANTA CATARINA,2.123,2004-06-16,2004
160,NORDESTE,CEARA,2.194,2004-06-16,2004
161,NORDESTE,MARANHAO,2.1,2004-06-16,2004
162,SUL,SANTA CATARINA,2.195,2004-06-23,2004
163,NORTE,RORAIMA,2.076,2004-06-23,2004
164,SUL,PARANA,2.123,2004-06-23,2004
165,SUL,RIO GRANDE DO SUL,2.316,2004-06-23,2004
166,NORDESTE,SERGIPE,2.1,2004-06-23,2004
167,NORDESTE,RIO GRANDE DO NORTE,2.151,2004-06-23,2004
168,NORDESTE,PIAUI,2.212,2004-06-23,2004
169,NORDESTE,PERNAMBUCO,2.118,2004-06-23,2004
170,CENTRO OESTE,DISTRITO FEDERAL,2.096,2004-06-23,2004
171,CENTRO OESTE,GOIAS,2.113,2004-06-23,2004
172,CENTRO OESTE,MATO GROSSO DO SUL,2.25,2004-06-23,2004
173,NORDESTE,ALAGOAS,2.223,2004-06-23,2004
174,NORDESTE,BAHIA,2.209,2004-06-23,2004
175,NORDESTE,CEARA,2.281,2004-06-23,2004
176,NORDESTE,MARANHAO,2.196,2004-06-23,2004
177,NORDESTE,PARAIBA,2.1,2004-06-23,2004
178,CENTRO OESTE,MATO GROSSO,2.496,2004-06-23,2004
179,SUDESTE,SAO PAULO,2.036,2004-06-23,2004
180,SUDESTE,RIO DE JANEIRO,2.152,2004-06-23,2004
181,SUDESTE,MINAS GERAIS,2.104,2004-06-23,2004
182,SUDESTE,ESPIRITO SANTO,2.176,2004-06-23,2004
183,NORTE,TOCANTINS,2.194,2004-06-23,2004
184,NORTE,RONDONIA,2.46,2004-06-23,2004
185,NORTE,PARA,2.443,2004-06-23,2004
186,NORTE,AMAZONAS,2.187,2004-06-23,2004
187,NORTE,AMAPA,2.395,2004-06-23,2004
188,NORTE,ACRE,2.482,2004-06-23,2004
189,CENTRO OESTE,DISTRITO FEDERAL,2.093,2004-06-30,2004
190,CENTRO OESTE,GOIAS,2.093,2004-06-30,2004
191,CENTRO OESTE,MATO GROSSO,2.508,2004-06-30,2004
192,CENTRO OESTE,MATO GROSSO DO SUL,2.257,2004-06-30,2004
193,NORDESTE,ALAGOAS,2.216,2004-06-30,2004
194,NORDESTE,BAHIA,2.212,2004-06-30,2004
195,NORDESTE,CEARA,2.28,2004-06-30,2004
196,NORDESTE,MARANHAO,2.194,2004-06-30,2004
197,NORDESTE,PARAIBA,2.097,2004-06-30,2004
198,NORDESTE,PERNAMBUCO,2.099,2004-06-30,2004
199,NORDESTE,PIAUI,2.213,2004-06-30,2004
200,NORDESTE,RIO GRANDE DO NORTE,2.139,2004-06-30,2004
201,SUL,RIO GRANDE DO SUL,2.289,2004-06-30,2004
202,SUL,PARANA,2.109,2004-06-30,2004
203,SUDESTE,SAO PAULO,2.033,2004-06-30,2004
204,SUL,SANTA CATARINA,2.191,2004-06-30,2004
205,SUDESTE,MINAS GERAIS,2.102,2004-06-30,2004
206,SUDESTE,RIO DE JANEIRO,2.151,2004-06-30,2004
207,NORTE,ACRE,2.51,2004-06-30,2004
208,NORTE,AMAPA,2.413,2004-06-30,2004
209,NORDESTE,SERGIPE,2.097,2004-06-30,2004
210,NORTE,PARA,2.441,2004-06-30,2004
